,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
87,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4093,ZH,Zurich,N,G,Groupe des Verts,Balthasar,Président(e),www.balthasar-glaettli.ch,4093,Glättli,3003,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3003.jpg,2019-04-11T11:13:48Z
88,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3883,VD,Vaud,N,V,Groupe de l'Union démocratique du Centre,Alice,Membre,www.aliceglauser.ch,3883,Glauser-Zufferey,2686,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2686.jpg,2016-09-01T13:33:02Z
89,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4096,SZ,Schwyz,N,C,Groupe PDC,Alois,Membre,www.aloisgmuer.ch,4096,Gmür,3001,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3001.jpg,2016-08-22T15:46:49Z
90,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4181,LU,Lucerne,N,C,Groupe PDC,Andrea,Membre,www.andrea-gmuer.ch,4181,Gmür-Schönenberger,3075,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3075.jpg,2018-01-10T16:55:25Z
91,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4137,GE,Genève,N,V,Groupe de l'Union démocratique du Centre,Roger,Membre,,4137,Golay,3039,MCG,Mouvement Citoyens Genevois,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3039.jpg,2018-01-10T16:43:19Z
92,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4116,SZ,Schwyz,N,RL,Groupe libéral-radical,Petra,Membre,www.petra-goessi.ch,4116,Gössi,3023,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3023.jpg,2016-05-02T14:04:40Z
93,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3921,LU,Lucerne,S,C,Groupe PDC,Konrad,Membre,www.konradgraber.ch,3921,Graber,2724,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2724.jpg,2015-05-17T21:18:19Z
94,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=806,BL,Bâle-Campagne,N,G,Groupe des Verts,Maya,Membre,www.mayagraf.ch,806,Graf,2569,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2569.jpg,2015-06-09T13:13:33Z
95,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1295,TG,Thurgovie,N,S,Groupe socialiste,Edith,Membre,www.edith-graf.ch,1295,Graf-Litscher,2652,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2652.jpg,2018-02-21T09:29:30Z
96,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3885,VD,Vaud,N,V,Groupe de l'Union démocratique du Centre,Jean-Pierre,Membre,,3885,Grin,2688,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2688.jpg,2015-05-17T21:18:19Z
97,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4083,BE,Berne,N,GL,Groupe vert'libéral,Jürg,Membre,www.juerg-grossen.ch,4083,Grossen,2786,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2786.jpg,2017-11-20T08:23:47Z
98,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3886,BE,Berne,N,BD,Groupe BD,Hans,Membre,,3886,Grunder,2689,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2689.jpg,2018-03-08T16:22:47Z
99,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4162,LU,Lucerne,N,V,Groupe de l'Union démocratique du Centre,Franz,Membre,,4162,Grüter,3076,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3076.jpg,2018-05-31T09:25:16Z
100,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4087,JU,Jura,N,C,Groupe PDC,Jean-Paul,Membre,,4087,Gschwind,2798,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2798.jpg,2015-05-17T21:18:19Z
101,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4214,ZH,Zurich,N,C,Groupe PDC,Niklaus-Samuel,Membre,www.nikgugger.ch,4214,Gugger,3115,PEV,Parti évangélique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3115.jpg,2018-10-04T16:38:55Z
102,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4082,AG,Argovie,N,BD,Groupe BD,Bernhard,Membre,www.bernhard-guhl.ch,4082,Guhl,2785,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2785.jpg,2019-06-07T08:28:15Z
103,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4216,TG,Thurgovie,N,V,Groupe de l'Union démocratique du Centre,Diana,Membre,www.diana-gutjahr.ch,4216,Gutjahr,3117,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3117.jpg,2017-10-17T16:33:07Z
104,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4121,SG,St-Gall,N,S,Groupe socialiste,Barbara,Membre,www.barbara-gysi.ch,4121,Gysi,3026,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3026.jpg,2015-05-17T21:18:19Z
105,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4236,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Martin,Membre,www.martinhaab.ch,4236,Haab,3134,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3134.jpg,2019-05-24T10:56:18Z
106,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1106,TG,Thurgovie,S,C,Groupe PDC,Brigitte,Membre,www.brigitte-haeberli.ch,1106,Häberli-Koller,2600,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2600.jpg,2018-10-23T09:07:21Z
107,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4076,SO,Soleure,N,S,Groupe socialiste,Philipp,Membre,www.philipp-hadorn.ch,4076,Hadorn,2792,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2792.jpg,2018-03-13T11:48:21Z
108,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4061,ZH,Zurich,N,S,Groupe socialiste,Thomas,Membre,www.thomashardegger.ch,4061,Hardegger,2763,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2763.jpg,2017-06-15T08:53:29Z
109,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4103,TG,Thurgovie,N,V,Groupe de l'Union démocratique du Centre,Markus,Membre,www.markus-hausammann.ch,4103,Hausammann,3002,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3002.jpg,2015-05-17T21:18:19Z
110,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3916,JU,Jura,S,S,Groupe socialiste,Claude,Membre,,3916,Hêche,2719,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2719.jpg,2016-06-06T10:40:50Z
111,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3887,ZH,Zurich,N,V,Groupe de l'Union démocratique du Centre,Alfred,Membre,,3887,Heer,2690,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2690.jpg,2015-11-17T15:28:49Z
112,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4139,GL,Glaris,S,RL,Groupe libéral-radical,Thomas,Membre,www.thomashefti.ch,4139,Hefti,3041,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3041.jpg,2015-12-08T17:18:58Z
113,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4153,ZG,Zoug,S,C,Groupe PDC,Peter,Membre,www.peter-hegglin.ch,4153,Hegglin,3053,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3053.jpg,2018-01-10T16:42:29Z
114,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1156,SO,Soleure,N,S,Groupe socialiste,Bea,Membre,www.bea-heim.ch,1156,Heim,2601,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2601.jpg,2016-04-05T11:09:32Z
115,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4129,TG,Thurgovie,N,V,Groupe de l'Union démocratique du Centre,Verena,Membre,www.verena-herzog.ch,4129,Herzog,3033,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3033.jpg,2018-08-30T15:38:50Z
116,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4163,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Erich,Membre,www.erichhess.ch,4163,Hess,3078,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3078.jpg,2019-01-11T13:55:59Z
117,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4094,BE,Berne,N,BD,Groupe BD,Lorenz,Membre,,4094,Hess,2799,PBD,Parti bourgeois-démocratique suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2799.jpg,2017-02-14T15:29:02Z
118,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3888,GE,Genève,N,RL,Groupe libéral-radical,Hugues,Membre,,3888,Hiltpold,2691,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2691.jpg,2018-12-05T08:29:22Z
119,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4145,GL,Glaris,S,V,Groupe de l'Union démocratique du Centre,Werner,Membre,,4145,Hösli,3047,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3047.jpg,2015-05-17T21:18:19Z
120,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1071,AG,Argovie,N,C,Groupe PDC,Ruth,Membre,www.ruthhumbel.ch,1071,Humbel,2580,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2580.jpg,2018-08-30T15:38:36Z
121,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3890,SH,Schaffhouse,N,V,Groupe de l'Union démocratique du Centre,Thomas,Membre,www.thomas-hurter.ch,3890,Hurter,2693,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2693.jpg,2016-06-13T11:45:07Z
122,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4164,SO,Soleure,N,V,Groupe de l'Union démocratique du Centre,Christian,Membre,www.schwarzbuben.ch,4164,Imark,3080,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3080.jpg,2018-03-14T09:43:57Z
123,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=477,BL,Bâle-Campagne,S,S,Groupe socialiste,Claude,Membre,www.janiak.ch,477,Janiak,2501,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2501.jpg,2016-02-03T13:23:37Z
124,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4032,BS,Bâle-Ville,N,S,Groupe socialiste,Beat,Membre,,4032,Jans,2745,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2745.jpg,2016-03-29T11:16:08Z
